ad_id,creator,title,price,description,post_date,last_edited,img_url,category_id,region_id,status
1960,bbishop71,ut pc mauris eget massa tempor convallis nulla neque libero convallis,119.98,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2015-08-11 12:01:42,2015-08-11 12:01:46,,250,247,active
1765,bnguyen50,ipsum primis in faucibus orci luctus et,106.55,Sed ante.,2015-07-17 21:40:39,,,63,298,active
456,hgarza4n,nibh in hac habitasse platea,23,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2014-09-23 03:16:55,,,450,421,deleted
1885,gcook2x,nunc nisl duis bibendum felis sed interdum venenatis turpis enim,488.28,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,2015-07-27 22:29:30,,http://s5.amazonaws.com/DwNLiyR,217,335,active
1098,mmccoy6x,fermentum donec ut pc mauris eget massa,287.87,Phasellus in felis. Donec semper sapien a libero.,2015-01-03 22:58:32,2015-01-03 22:58:32,,89,259,active
1199,ahoward3f,et ultrices posuere cubilia macbook mauris viverra,70.2,Nulla ac enim.,2015-01-18 07:31:41,,,465,17,active
1487,bnguyen50,at turpis donec posuere metus vitae ipsum aliquam,135.42,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2015-03-23 19:44:30,,,509,478,active
237,drobinson7v,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,317.85,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",2014-08-18 00:34:22,2014-08-18 00:34:22,http://s6.amazonaws.com/sgWBNJVSwIRyPHi,192,170,expired
36,dmartinezq,cras mi pede malesuada in imperdiet et commodo vulputate justo,99.74,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2014-04-30 00:00:33,,,243,98,expired
286,drobinson7v,id nisl venenatis lacinia aenean sit amet justo macbook ut odio,71.74,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2014-08-18 00:34:22,,http://s4.amazonaws.com/EKjTuPD,139,17,expired
1296,kporter26,non lectus aliquam sit amet diam in,103.43,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2015-01-24 00:15:15,2015-01-24 00:15:20,http://s7.amazonaws.com/aThFISN,277,17,deleted
887,ahoward3f,curabitur in libero ut pc,219.25,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2014-11-29 06:43:30,2014-11-29 06:43:34,,89,420,expired
1758,jhenderson7s,vestibulum ante ipsum primis in,6.66,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,2015-06-27 20:43:34,,http://s2.amazonaws.com/WILStsglUd,509,112,active
1478,drobinson7v,tempor turpis nec macbook scelerisque quam turpis adipiscing lorem vitae,76.05,Curabitur at ipsum ac tellus semper interdum.,2015-03-18 10:11:32,,http://s6.amazonaws.com/jwTVAxLEsc,482,361,active
92,lruiz2y,elementum nullam varius nulla facilisi cras,324.19,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,2014-07-12 20:28:19,,,192,306,deleted
176,rknight4k,congue vivamus metus arcu adipiscing,198.97,Nunc rhoncus dui vel sem.,2014-08-05 09:24:17,2014-08-05 09:24:18,,192,360,expired
536,lkelley2m,odio donec vitae nisi nam ultrices libero non mattis,348.02,Quisque ut erat. Curabitur gravida nisi at nibh.,2014-10-02 16:35:24,,,216,54,expired
870,ahoward3f,sem mauris laoreet ut pc,85.67,Vestibulum sed magna at nunc commodo placerat.,2014-11-25 12:59:37,,,169,124,expired
135,jcolemand,magna vulputate luctus cum,486.77,Morbi quis tortor id nulla ultrices aliquet.,2014-07-25 22:14:30,2014-07-25 22:14:33,http://s2.amazonaws.com/mjLeWYMCZlkTXS,465,478,expired
920,lkelley2m,neque vestibulum eget vulputate ut ultrices vel augue,119.57,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2014-12-02 06:30:38,,,260,306,expired
1463,rknight4k,macbook non lectus aliquam sit amet diam in magna bibendum,140.45,Vivamus vel nulla eget eros elementum pellentesque.,2015-03-16 02:06:49,,,63,170,active
376,bbishop71,elementum in hac habitasse platea dictumst macbook vestibulum velit id,53.82,Proin at turpis a pede posuere nonummy.,2014-09-04 02:15:03,,http://s6.amazonaws.com/VOWMdyvQsf,482,171,deleted
1370,kporter26,libero non mattis pulvinar nulla pede ullamcorper,331.21,Curabitur convallis.,2015-03-08 22:29:19,,,213,32,active
85,bdaniels1g,magna at nunc commodo placerat praesent blandit,146.82,Quisque ut erat. Curabitur gravida nisi at nibh.,2014-06-25 11:39:23,,,312,17,expired
716,bnguyen50,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,250.89,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2014-11-07 18:30:49,,http://s6.amazonaws.com/zvPmYVcCwJyrgu,213,27,deleted
1300,dstephens60,duis bibendum macbook non quam,336.69,In quis justo.,2015-01-27 09:06:43,2015-01-27 09:06:47,http://s3.amazonaws.com/ECvsWgIXNDmaYhT,213,149,active
1642,bnguyen50,ac lobortis vel dapibus at diam nam,143.87,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2015-05-12 03:08:55,2015-05-12 03:08:58,,192,198,active
1752,gferguson4m,turpis integer aliquet massa id lobortis convallis,434.15,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2015-06-04 23:17:27,2015-06-04 23:17:32,,89,54,deleted
