category_id,name,community_id
242,books for sale,205
170,apt for rent,89
312,furniture sale,230
380,car for sale,47
120,housing swap,230
465,tickets,110
192,apartments,205
450,place for rent,81
89,books,85
213,apartments,59
230,electronics,54
217,shared rooms,113
272,car parts,216
509,games,23
277,computers,133
260,books for sale,81
261,furniture sale,70
493,books for sale,133
139,room for rent,89
250,books for sale,59
482,cars,151
497,car sharing,55
216,travel,169
296,computers/it,59
334,car for sale,110
282,garage sale,70
169,parking,49
243,computers/electronics,85
109,toys/games,87
63,computers,151
