city_id,name,state,description
5,Los Angeles,CA,"Los Angeles is the second-largest city in the United States, the most populous city in the U.S. state of California, and the county seat of Los Angeles County. "
2,New York City,NY,New York City is the most populous city in the United States and the center of the New York metropolitan area and one of the most populous urban agglomerations in the world
83,Fort Pierce,FL,"Fort Pierce is a city in and the county seat of St. Lucie County, Florida, United States, and is also known as the Sunrise City."
14,Pittsburgh,PA,"Pittsburgh is the second largest city in the Commonwealth of Pennsylvania with a population of 305,842 and the county seat of Allegheny County."
99,Dallas,TX,Dallas is a major city in Texas and is the largest urban center of the fourth most populous metropolitan area in the United States. 
90,Houston,TX,"Houston is the most populous city in Texas and the American South, and the fourth most populous city in the United States."
62,Akron,OH,Akron is the fifth-largest city in the U.S. state of Ohio and is the seat of Summit County.
95,Topeka,KS,Topeka is the capital city of the State of Kansas and the seat of Shawnee County.
81,Sacramento,CA,Sacramento is the capital city of the U.S. state of California and the seat of government of Sacramento County.
64,New Bedford,MA,"New Bedford is a city in Bristol County, Massachusetts, United States. It is the sixth-largest city in the state."
54,Oklahoma City,OK,"Oklahoma City is the capital and largest city of the state of Oklahoma, ranking 27th among United States cities in population."
89,Miami,FL,Miami is a city located on the Atlantic coast in southeastern Florida and the county seat of Miami-Dade County.
26,Washington,DC,"Washington, D.C., formally the District of Columbia is the capital of the United States. "
10,Indianapolis,IN,Indianapolis is the capital of the U.S. state of Indiana and the county seat of Marion County.
67,Omaha,NE,"Omaha is the largest city in the state of Nebraska, United States, and is the county seat of Douglas County."
