username,category_id
jhenderson7s,242
amoore1p,493
gferguson4m,497
rray2n,230
gcook2x,482
rray2n,250
dstephens60,261
ccarra,482
swebb59,277
hgarza4n,261
mmccoy6x,213
jperez3a,380
kcollins6w,120
rknight4k,63
rray2n,109
mmccoy6x,282
hpatterson1o,169
jperez3a,509
mmccoy6x,139
jhenderson7s,296
bparker63,139
bbishop71,509
ahoward3f,192
rray2n,170
aadams29,334
amoore1p,482
lhartj,109
aadams29,250
dstephens60,169
cwarren3c,89
sspencer42,465
epierce7f,261
bbishop71,243
hpatterson1o,334
gcook2x,465
hpatterson1o,230
jhenderson7s,277
aadams29,509
drobinson7v,139
mwashington2q,334
ahoward3f,272
gcook2x,243
ahoward3f,217
jcolemand,230
bnguyen50,192
chernandez5i,509
ccarra,192
lruiz2y,497
trivera5p,139
cwarren3c,282
swebb59,334
rknight4k,282
epierce7f,250
jcolemand,312
kporter26,170
lkelley2m,242
mholmesw,380
epierce7f,242
drobinson7v,243
hgarza4n,296
cwarren3c,493
awilliams3t,192
hgarza4n,497
lkelley2m,120
bdaniels1g,120
lhartj,272
dmartinezq,497
ahoward3f,89
mholmesw,230
swebb59,482
amoore1p,109
sspencer42,334
gcook2x,109
bbishop71,63
aadams29,282
