username,ad_id
ahoward3f,1504
chernandez5i,932
jhenderson7s,1478
epierce7f,1378
ccarra,92
jperez3a,456
amoore1p,536
srose8a,1478
amoore1p,36
ccarra,286
dmartinezq,1199
aadams29,418
jcolemand,1608
sspencer42,2037
sburns7p,920
bmatthews1c,450
chernandez5i,1487
jcolemand,1885
bnguyen50,1199
lruiz2y,870
lhartj,1752
swebb59,1504
cwarren3c,1642
bmatthews1c,1100
ahoward3f,1199
lkelley2m,850
kcollins6w,1304
ahoward3f,1752
dmartinezq,1765
awilliams3t,1585
sburns7p,237
trivera5p,637
gcook2x,1478
drobinson7v,418
awilliams3t,1885
bnguyen3n,1608
cwarren3c,637
cwarren3c,716
lruiz2y,456
swebb59,1765
sburns7p,637
lruiz2y,1885
ccarra,850
mmccoy6x,920
hpatterson1o,2037
dmartinezq,1478
awilliams3t,135
mholmesw,1642
rray2n,1100
bdaniels1g,920
