region_id,name,city_id
17,West LA,5
436,Central LA,5
124,San Fernando Valley,5
464,San Gabriel Valley,5
321,Antelope Valley,5
54,Long Beach,5
100,Manhattan,2
259,Brooklyn,2
340,Queens,2
366,The Bronx,2
301,Staten Island,2
67,Viking,83
96,Cana,83
25,Hazelwood,14
478,North Side,14
420,West End,14
31,South Side,14
298,Lawrenceville,14
149,Central Dallas,99
151,East Dallas,99
361,South Dallas,99
65,Downtown,90
360,South Side,90
335,Midtown,90
30,Uptown,90
211,Chapel Hill,62
40,University Park,62
182,Highland Square,62
98,West Topeka,95
405,Glenwood,95
94,Stonybrook,95
467,Sherwood Estates,95
56,Central/Eastern,81
404,Southwestern,81
29,Southeastern,81
247,North Side,81
11,Downtown,64
139,North End,64
326,South End,64
32,West End,64
27,Downtown,54
320,Midtown,54
308,Uptown,54
306,Downtown,89
173,North Side,89
219,West Side,89
399,South Side,89
112,Northwest,26
367,Northeast,26
411,Southeast,26
318,Southwest,26
235,Downtown,10
234,Eastside,10
421,United Northwest,10
198,United Northeast,10
171,Concord,10
299,North Omaha,67
170,South Omaha,67
226,West Omaha,67
23,East Omaha,67
